wall_time,frame_idx,timestamp_s,source,permanent_id,session_id,object_class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,face_identified,activity,anomaly,scene_anomaly,scene_anomaly_conf,zone_name,event_type
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,1,person,1697.0,389.1,1869.7,728.9,0.893,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,171,2,person,254.1,456.7,353.5,705.1,0.879,False,Person is falling,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,3,person,1291.3,461.3,1360.6,659.4,0.873,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,4,person,1256.1,537.5,1316.3,655.5,0.82,True,Person is running,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,5,person,1.0,341.7,118.4,903.7,0.811,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,6,person,118.1,505.8,202.3,743.8,0.729,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,7,person,1883.6,391.9,1920.0,579.1,0.591,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,8,person,858.7,516.7,901.3,625.4,0.503,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,9,person,46.6,497.7,120.0,748.9,0.458,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,10,person,1691.7,383.5,1861.6,741.6,1.0,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,171,11,person,257.7,452.0,362.5,710.4,1.0,False,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,12,person,1292.9,461.5,1364.0,660.3,1.0,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,13,person,1252.1,537.6,1315.3,660.9,1.0,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,1791.4,478.2,1878.9,574.6,0.756,False,,,normal,nan,,OBJECT_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,chair,1416.2,578.5,1495.6,641.9,0.488,False,,,normal,nan,,OBJECT_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,51.3,569.2,110.2,654.8,0.479,False,,,normal,nan,,OBJECT_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,tv,1155.4,346.2,1358.8,622.3,0.467,False,,,normal,nan,,OBJECT_DETECTED
1776250397.7592046,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,1331.8,507.8,1364.7,570.8,0.456,False,,,normal,nan,,OBJECT_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,1,person,1690.5,388.8,1863.5,728.7,0.905,True,Person is running,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,171,2,person,255.9,457.3,355.5,706.1,0.88,False,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,3,person,1294.2,461.2,1363.5,659.4,0.86,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,4,person,1257.0,537.9,1317.6,656.9,0.852,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,5,person,2.2,336.8,120.9,904.5,0.839,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,6,person,114.5,504.2,199.1,743.7,0.673,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,7,person,1882.4,390.1,1919.2,579.6,0.612,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,8,person,857.9,513.8,901.8,625.8,0.429,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,10,person,1686.5,388.3,1855.3,744.0,1.0,True,Person is running,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,171,11,person,260.4,453.7,365.7,713.5,1.0,False,Person is running,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,12,person,1293.4,458.5,1366.3,662.4,1.0,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,13,person,1249.6,523.9,1320.1,661.9,0.928,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,1790.1,487.5,1876.4,574.9,0.728,False,,,normal,nan,,OBJECT_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,50.1,568.0,109.8,652.9,0.523,False,,,normal,nan,,OBJECT_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,chair,1416.0,578.8,1495.2,640.0,0.515,False,,,normal,nan,,OBJECT_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,tv,1155.0,346.6,1358.5,623.2,0.476,False,,,normal,nan,,OBJECT_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,book,390.2,500.4,404.2,528.8,0.437,False,,,normal,nan,,OBJECT_DETECTED
1776250397.9246502,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,1334.9,505.6,1370.5,568.2,0.409,False,,,normal,nan,,OBJECT_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,1,person,1685.9,388.6,1859.3,728.8,0.9,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,171,2,person,257.6,458.4,356.7,706.2,0.873,False,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,3,person,1293.3,460.9,1362.7,659.5,0.865,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,4,person,1257.1,538.6,1317.5,657.6,0.819,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,5,person,2.1,322.7,124.0,905.1,0.853,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,6,person,114.2,505.3,198.3,744.0,0.747,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,7,person,1880.9,387.3,1918.5,580.1,0.601,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,8,person,858.8,512.1,903.2,625.3,0.414,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,10,person,1682.6,383.5,1854.1,744.8,1.0,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,171,11,person,263.1,453.3,369.0,714.4,1.0,False,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,12,person,1295.8,457.2,1369.4,662.9,1.0,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,13,person,1250.5,518.2,1323.4,662.0,0.482,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,1784.0,488.0,1874.2,575.2,0.694,False,,,normal,nan,,OBJECT_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,chair,1416.0,578.5,1495.2,639.7,0.535,False,,,normal,nan,,OBJECT_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,tv,1155.6,347.0,1357.9,620.8,0.505,False,,,normal,nan,,OBJECT_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,1340.0,505.8,1373.9,566.9,0.454,False,,,normal,nan,,OBJECT_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,book,389.9,500.7,403.9,529.1,0.421,False,,,normal,nan,,OBJECT_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,56.2,569.6,109.5,652.2,0.418,False,,,normal,nan,,OBJECT_DETECTED
1776250397.954149,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,,,handbag,59.3,587.5,105.9,652.0,0.403,False,,,normal,nan,,OBJECT_DETECTED
1776250397.9950452,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,193,1,person,1681.2,388.9,1854.9,729.6,0.88,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.9950452,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,171,2,person,257.7,457.9,357.1,706.7,0.883,False,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9950452,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,3,person,1295.3,460.8,1364.7,659.3,0.835,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776250397.9950452,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,4,person,1258.0,539.7,1317.8,658.1,0.793,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776250397.9950452,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\mot_test_clip_2,194,5,person,0.3,308.7,125.2,905.7,0.804,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
