wall_time,frame_idx,timestamp_s,source,permanent_id,session_id,object_class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,face_identified,activity,anomaly,scene_anomaly,scene_anomaly_conf,zone_name,event_type
1776245202.7843416,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.1,104.8,218.2,240.1,0.665,True,Person fighting,normal,normal,nan,Restricted Zone A,ZONE_INTRUSION
1776245202.7843416,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.7,-0.0,299.1,101.8,0.614,False,,,normal,nan,,OBJECT_DETECTED
1776245202.7843416,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,-0.0,294.9,49.7,0.492,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8368258,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,105.0,218.1,240.1,0.668,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776245202.8368258,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.4,-0.0,299.1,101.8,0.617,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8368258,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,-0.0,295.0,49.7,0.498,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8368258,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,104.8,218.2,240.1,0.676,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776245202.8368258,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.2,-0.0,299.1,101.8,0.627,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8368258,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,-0.0,294.8,49.6,0.489,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8428447,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,104.9,218.2,240.1,0.666,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776245202.8428447,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.5,0.0,299.4,101.7,0.558,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8428447,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.8,0.0,294.7,49.4,0.494,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8428447,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,189.4,99.3,244.5,181.4,0.411,False,,,normal,nan,,OBJECT_DETECTED
1776245202.852383,4,0.133,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,104.9,218.2,240.0,0.663,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776245202.852383,4,0.133,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.8,0.0,299.3,101.7,0.573,False,,,normal,nan,,OBJECT_DETECTED
1776245202.852383,4,0.133,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.8,0.0,294.7,49.5,0.493,False,,,normal,nan,,OBJECT_DETECTED
1776245202.861933,5,0.167,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,94.1,104.6,217.3,240.1,0.651,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776245202.861933,5,0.167,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,211.1,0.0,300.4,101.4,0.595,False,,,normal,nan,,OBJECT_DETECTED
1776245202.861933,5,0.167,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.8,0.0,295.1,48.9,0.493,False,,,normal,nan,,OBJECT_DETECTED
1776245202.861933,5,0.167,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,173.2,96.7,245.5,182.0,0.417,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8724325,6,0.2,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,93.9,104.8,216.9,240.0,0.646,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776245202.8724325,6,0.2,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,212.0,-0.1,300.6,100.2,0.6,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8724325,6,0.2,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,0.0,295.1,49.0,0.518,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8724325,6,0.2,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,173.6,96.8,245.4,182.0,0.423,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8826945,7,0.233,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,93.2,106.3,215.1,240.1,0.671,True,Person is walking,normal,normal,nan,,PERSON_DETECTED
1776245202.8826945,7,0.233,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.8,0.0,301.4,100.8,0.581,False,,,normal,nan,,OBJECT_DETECTED
1776245202.8826945,7,0.233,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.9,0.0,295.4,49.1,0.478,False,,,normal,nan,,OBJECT_DETECTED
1776245202.892732,8,0.267,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,92.8,106.7,214.3,240.1,0.677,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776245202.892732,8,0.267,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,211.1,0.1,300.2,100.2,0.582,False,,,normal,nan,,OBJECT_DETECTED
1776245202.892732,8,0.267,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.9,0.0,295.2,49.3,0.488,False,,,normal,nan,,OBJECT_DETECTED
1776245202.9029522,9,0.3,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,92.5,106.6,214.1,240.1,0.684,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776245202.9029522,9,0.3,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,212.4,0.0,299.7,99.6,0.538,False,,,normal,nan,,OBJECT_DETECTED
1776245202.9029522,9,0.3,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.9,0.1,295.1,49.1,0.496,False,,,normal,nan,,OBJECT_DETECTED
1776245202.938051,10,0.333,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,92.5,106.3,214.3,240.1,0.682,True,Person is walking,robbery,robbery,0.133,,PERSON_DETECTED
1776245202.938051,10,0.333,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.7,0.2,299.8,100.5,0.505,False,,,robbery,0.133,,OBJECT_DETECTED
1776245202.938051,10,0.333,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,0.1,295.4,49.2,0.461,False,,,robbery,0.133,,OBJECT_DETECTED
1776245202.953291,11,0.367,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,91.1,105.3,213.9,240.1,0.614,True,Person is walking,robbery,robbery,0.133,,PERSON_DETECTED
