wall_time,frame_idx,timestamp_s,source,permanent_id,session_id,object_class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,face_identified,activity,anomaly,scene_anomaly,scene_anomaly_conf,zone_name,event_type
1776247234.9825206,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.1,104.8,218.2,240.1,0.665,True,Person fighting,normal,normal,nan,Restricted Zone A,ZONE_INTRUSION
1776247234.9825206,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.7,-0.0,299.1,101.8,0.614,False,,,normal,nan,,OBJECT_DETECTED
1776247234.9825206,0,0.0,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,-0.0,294.9,49.7,0.492,False,,,normal,nan,,OBJECT_DETECTED
1776247235.018594,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,105.0,218.1,240.1,0.668,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776247235.018594,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.4,-0.0,299.1,101.8,0.617,False,,,normal,nan,,OBJECT_DETECTED
1776247235.018594,1,0.033,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,-0.0,295.0,49.7,0.498,False,,,normal,nan,,OBJECT_DETECTED
1776247235.0232735,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,104.8,218.2,240.1,0.676,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776247235.0232735,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.2,-0.0,299.1,101.8,0.627,False,,,normal,nan,,OBJECT_DETECTED
1776247235.0232735,2,0.067,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,228.0,-0.0,294.8,49.6,0.489,False,,,normal,nan,,OBJECT_DETECTED
1776247235.033377,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,104.9,218.2,240.1,0.666,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776247235.033377,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.5,0.0,299.4,101.7,0.558,False,,,normal,nan,,OBJECT_DETECTED
1776247235.033377,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.8,0.0,294.7,49.4,0.494,False,,,normal,nan,,OBJECT_DETECTED
1776247235.033377,3,0.1,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,189.4,99.3,244.5,181.4,0.411,False,,,normal,nan,,OBJECT_DETECTED
1776247235.043453,4,0.133,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,7,1,person,95.2,104.9,218.2,240.0,0.663,True,Person is standing,normal,normal,nan,,PERSON_DETECTED
1776247235.043453,4,0.133,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,210.8,0.0,299.3,101.7,0.573,False,,,normal,nan,,OBJECT_DETECTED
1776247235.043453,4,0.133,C:\Users\sai2c\OneDrive\Pictures\surveillance_fixed\surveillance_fixed\data\test_clip.mp4,,,tv,227.8,0.0,294.7,49.5,0.493,False,,,normal,nan,,OBJECT_DETECTED
